id,yearBuilt,numberOfFloors,energyStarScore,electricity,emissionsIntensity
21117,1946,3,1.0,1903747.0,5.7
22502,1974,1,1.0,1075044.0,1.1
704,2000,4,1.0,27578572.0,0.8
703,2000,4,1.0,27966212.0,0.7
24202,1978,1,1.0,814604.0,0.8
24180,1986,2,1.0,2681479.0,0.3
28735,2008,4,1.0,3903427.0,4.9
20059,1959,3,1.0,1923833.0,0.2
85,1970,2,1.0,5427919.0,6.2
27154,1913,4,1.0,908420.0,2.1
24591,1926,1,1.0,2828114.0,0.4
21443,1928,3,1.0,5057328.0,5.5
25853,1929,12,1.0,1317834.0,3.1
1281,1960,3,1.0,19737366.0,0.8
21484,1926,1,1.0,10808237.0,1.5
28033,1971,1,1.0,3480960.0,2.0
21413,1926,1,1.0,5495903.0,1.2
21920,1980,2,1.0,3391050.0,2.0
457,2001,3,1.0,7639523.0,7.7
21344,2000,13,1.0,6863736.0,4.2
21317,1915,1,1.0,2079173.0,0.4
24448,1913,1,2.0,829768.0,0.8
553,1949,1,2.0,21405523.0,0.6
24492,2004,2,2.0,2397574.0,1.4
23292,2006,17,2.0,10914370.0,0.8
50193,2016,4,2.0,3949892.0,0.2
21893,1979,1,2.0,1523607.0,3.0
27554,1974,1,2.0,912766.0,0.6
24958,1964,1,2.0,1574991.0,0.1
25713,1979,3,2.0,3373691.0,0.3
27142,1912,4,2.0,566697.0,1.3
391,1970,1,3.0,2437634.0,1.2
395,1973,1,3.0,3221899.0,0.8
280,1909,6,3.0,2959449.0,2.9
847,1970,1,3.0,5200990.0,4.2
20197,1965,2,3.0,569286.0,1.0
28029,1970,1,3.0,8756096.0,3.1
19847,1956,2,3.0,2043297.0,6.7
313,1927,5,3.0,16972926.0,3.1
22264,1980,1,3.0,862303.0,0.1
24630,2000,3,4.0,4399034.0,0.3
24531,1966,1,4.0,1861499.0,0.6
21897,1978,1,4.0,318800.0,5.5
25643,2000,5,4.0,3344222.0,1.7
24803,1993,1,5.0,1762951.0,1.9
22261,1975,3,5.0,1768370.0,1.6
27100,2008,20,5.0,23701659.0,6.5
21278,1955,5,5.0,1934914.0,0.2
651,2008,5,5.0,12126190.0,5.0
25737,1969,6,5.0,4259978.0,1.8
24532,1970,1,6.0,1259657.0,5.0
20605,1953,1,6.0,720491.0,2.2
27526,1959,4,6.0,2089500.0,3.4
50178,2016,5,6.0,1385726.0,0.2
21322,1928,4,6.0,1908309.0,1.5
