A|B|val1|val2|fraccion|B_COD
foo|one|0.34335944907586813|0.9181437269856335|0.37|0
bar|two|0.5958740063420184|0.7247171950543551|0.82|1
foo|three|0.1895376236922537|0.18039056385659769|1.05|2
bar|one|0.9437244497395424|0.6892802391901589|1.37|0
foo|two|0.019839474965361314|0.4027300596650909|0.05|1
bar|three|0.8075037514587675|0.33927121251776227|2.38|2
foo|one|0.5114500979693852|0.6446776926655498|0.79|0
bar|two|0.21093622991736893|0.052979462049940085|3.98|1
foo|three|0.4025053944176493|0.9699454327880607|0.41|2
bar|one|0.41108811804158574|0.3064249367923251|1.34|0
foo|two|0.11053978174428347|0.4444126914146721|0.25|1
bar|three|0.9128235164034258|0.4447160680167177|2.05|2
foo|one|0.8878106100646803|0.8057772046636061|1.1|0
bar|two|0.7692025836683499|0.3224999647558042|2.39|1
foo|three|0.179360536933741|0.021098115299998943|8.5|2
bar|one|0.7824874502944096|0.12618550506552195|6.2|0
foo|two|0.27003764340078584|0.8613637581927499|0.31|1
bar|three|0.1126415599381877|0.9730111902344177|0.12|2
foo|one|0.5639146711932076|0.3382801855175621|1.67|0
bar|two|0.8961222020325598|0.2268888678469133|3.95|1
foo|three|0.5505537951282408|0.2920525016288602|1.89|2
bar|one|0.050874254545019704|0.062079563798365656|0.82|0
foo|two|0.6501062916592121|0.37604405926474027|1.73|1
bar|three|0.2766373692621211|0.30771126301608287|0.9|2
